tag,reach,taggings
rock,402781,4067683
electronic,262083,2496159
seen live,82554,2193687
alternative,267137,2130332
pop,233665,2080344
indie,260347,2064708
female vocalists,169146,1634077
metal,158962,1304964
alternative rock,170178,1229051
jazz,149928,1195662
classic rock,137104,1149184
ambient,150076,1123771
experimental,145282,1110848
folk,151307,957788
indie rock,137344,927882
Hip-Hop,131391,918578
punk,145426,918568
hard rock,115287,913195
black metal,64522,904554
instrumental,126103,887958
singer-songwriter,110005,857290
dance,134374,820445
80s,100650,797228
death metal,72900,760519
Progressive rock,96748,754173
heavy metal,90862,750797
hardcore,99534,721770
british,93529,700070
soul,102112,695235
chillout,103607,652619
electronica,102519,638806
rap,110849,625928
industrial,85101,585888
punk rock,98409,581392
Classical,74907,579971
Soundtrack,85811,577159
blues,96433,555706
thrash metal,62937,525219
90s,57162,500353
metalcore,68483,499923
psychedelic,78650,486914
bookmark,177,486023
acoustic,111762,485622
japanese,50277,479720
hip hop,80507,465079
post-rock,66217,458422
Progressive metal,62893,453993
House,74893,451995
german,59852,446588
techno,72494,446385
